book,lex,sp,vs,vt,ctyp,ptyp,gloss
lev,כי,conj,,,,CP,that
lev,מוכ,verb,qal,impf,,VP,grow poor
lev,אח,subs,,,,NP,brother
lev,עמ,prep,,,,PP,with
lev,ו,conj,,,WQt0,CP,and
lev,מכר,verb,nif,perf,,VP,sell
lev,ל,prep,,,,PP,to
lev,לא,nega,,,xYq0,NegP,not
lev,עבד,verb,qal,impf,,VP,"work, serve"
lev,ב,prep,,,,PP,in
lev,עבדה,subs,,,,NP,work
lev,עבד,subs,,,,,servant
lev,כ,prep,,,xYq0,PP,as
lev,שׂכיר,adjv,,,,,hired
lev,כ,prep,,,,,as
lev,תושׁב,subs,,,,,sojourner
lev,היה,verb,qal,impf,,VP,be
lev,עמ,prep,,,,PP,with
