book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_chr,שׁלח,verb,qal,perf,ZQt0,VP,send
2_chr,אישׁ,subs,,,,NP,man
2_chr,חכמ,adjv,,,,,wise
2_chr,ידע,verb,qal,ptca,Ptcp,VP,know
2_chr,בינה,subs,,,,NP,understanding
2_chr,ל,prep,,,ZQt0,NP,to
2_chr,חורמ,nmpr,,,,,Huram
2_chr,אב,subs,,,,,father
2_chr,בנ,subs,,,NmCl,NP,son
2_chr,אשׁה,subs,,,,,woman
2_chr,מנ,prep,,,,,from
2_chr,בת,subs,,,,,daughter
2_chr,דנ,nmpr,,,,,Dan
2_chr,ו,conj,,,NmCl,CP,and
2_chr,אב,subs,,,,NP,father
2_chr,אישׁ,subs,,,,NP,man
2_chr,צרי,adjv,,,,,Tyrian
2_chr,ידע,verb,qal,ptca,Ptcp,VP,know
2_chr,ל,prep,,,InfC,VP,to
